Model,Scenario,Region,Variable,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|33.0th Percentile,W/m^2,1.606191413,1.706876267,1.668030252,1.762944875,1.9632321,2.052726738,2.067552041,2.027915246,1.952977141,1.99683321,1.957600917,1.945973853,2.003091254,2.098339421,2.13318504,2.206147479,2.266518425,2.314512278,2.430133496,2.427849428,2.524270176,2.56802312,2.638106431,2.679910544,2.720042629,2.764176007,2.842077221,2.920670334,2.982987187,3.030921275,3.049427086,3.062632751,3.067241528,3.079417183,3.089782403,3.100829251,3.100605098,3.107111976,3.131328627,3.171089948,3.175118679,3.18604668,3.165127233,3.160555891,3.129472525,3.097960659,3.060590511,3.037135948,3.0238202,3.01781071,3.037309335,3.04356975,3.053554048,3.038280307,3.000845832,2.95138747,2.915011506,2.880323296,2.851690167,2.839421199,2.844504193,2.856254898,2.843221816,2.8321383,2.821425452,2.786051588,2.754650312,2.725854896,2.709104731,2.697050043,2.690854424,2.711215753,2.72601847,2.730250058,2.713144923,2.685746692,2.653479395,2.629939068,2.611941253,2.591118551,2.577999264,2.563092625,2.561138944,2.570096036,2.582151155,2.587534361,2.580013832,2.570785836,2.548875307,2.534259426,2.507725663,2.490159368,2.485446934,2.481585914,2.494454661,2.514515625,2.530543375,2.550240364,2.533246334,2.507085244,2.485808897,2.461658805,2.449584478,2.437766993,2.443807435,2.460503403
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|5.0th Percentile,W/m^2,1.310638991,1.416507755,1.273503769,1.369464363,1.653078664,1.763192,1.774933788,1.690374007,1.608526134,1.663439172,1.613927448,1.586011128,1.644585581,1.752666661,1.7919448,1.829121938,1.914462659,1.927758881,2.070010019,2.038798962,2.142489539,2.193167123,2.265117508,2.322343394,2.370725005,2.425145548,2.505145869,2.579312141,2.649176518,2.703016185,2.724511683,2.740331246,2.748225182,2.761918877,2.77397533,2.785011466,2.785981798,2.793214242,2.818785619,2.859753512,2.864532496,2.878806051,2.860477685,2.858196623,2.830583593,2.803953638,2.7709627,2.747466857,2.735336998,2.738385677,2.758740792,2.769859924,2.784502637,2.773935944,2.735471853,2.688635693,2.656681603,2.626708616,2.59738896,2.588511699,2.597313635,2.605957543,2.591981162,2.584399033,2.573132147,2.542956333,2.511520596,2.483767271,2.463954835,2.454308958,2.446729165,2.468135002,2.483862767,2.484350299,2.468505203,2.43994217,2.407074673,2.384346668,2.364071021,2.338542809,2.322285117,2.306945137,2.301599124,2.310118042,2.320721059,2.325596229,2.317453307,2.306918276,2.283657741,2.269271598,2.238572628,2.219833687,2.214438874,2.209323385,2.217844847,2.242060023,2.254530259,2.276838612,2.260367191,2.232621934,2.212245888,2.18651238,2.175160205,2.164183509,2.16924946,2.185465846
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|50.0th Percentile,W/m^2,1.726261258,1.829279632,1.810632644,1.908043106,2.083302624,2.170360528,2.186173291,2.157821107,2.08320231,2.123569592,2.0862763,2.081729702,2.135420603,2.225270111,2.259993706,2.346395012,2.396762174,2.458739222,2.56947131,2.574770059,2.663454743,2.702296754,2.773436908,2.813516838,2.850238619,2.891497277,2.967567109,3.050373273,3.113604927,3.163480531,3.177717661,3.191268792,3.192268025,3.202310933,3.209990796,3.217025274,3.214555073,3.219371775,3.240712329,3.275726754,3.276116937,3.287772619,3.263847039,3.256289461,3.224348713,3.192955254,3.155103016,3.131423136,3.115844223,3.111691273,3.129849702,3.13919999,3.15105664,3.13601479,3.095810297,3.04507776,3.008150773,2.974751198,2.947342209,2.935360019,2.939541958,2.949232505,2.934180063,2.922271183,2.910914865,2.874713349,2.842992872,2.816646918,2.799450858,2.788229737,2.783402756,2.798533511,2.813121494,2.817586527,2.802171903,2.776819742,2.743433398,2.722570147,2.706470652,2.686867712,2.673963199,2.659566038,2.655659069,2.665289882,2.676817871,2.682145598,2.675236972,2.666100899,2.644764342,2.63188633,2.606110721,2.588831817,2.58382564,2.582264903,2.59478735,2.61679775,2.633835605,2.655148925,2.639959913,2.611387989,2.589907372,2.564284386,2.552689838,2.541766578,2.546298605,2.564886381
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|67.0th Percentile,W/m^2,1.862108542,1.961964778,1.968038616,2.053397652,2.218930623,2.297293557,2.315480516,2.298485019,2.225017476,2.265917525,2.231441932,2.231410443,2.284221641,2.37023613,2.405386707,2.49503124,2.546246973,2.61669764,2.715317745,2.732470375,2.820604337,2.856981488,2.925321416,2.964039717,2.999204405,3.040177263,3.112019945,3.189392006,3.248173995,3.292737697,3.308510623,3.318898884,3.317945584,3.323805555,3.328958849,3.335971294,3.330394312,3.336702956,3.358505595,3.397443108,3.39699065,3.407882054,3.382924463,3.372887938,3.338336024,3.30648624,3.267526822,3.242275591,3.22553825,3.218271004,3.235783573,3.241254004,3.249913548,3.232416278,3.190817485,3.137878211,3.101198117,3.065868829,3.035783898,3.020767697,3.025399128,3.035257563,3.019744325,3.008794615,2.9980498,2.962368947,2.932031367,2.903336117,2.884636451,2.870450385,2.86672826,2.882222694,2.900657026,2.905506165,2.890249933,2.865770594,2.836112397,2.816075705,2.798654541,2.777775941,2.764188171,2.749376448,2.747936028,2.759361671,2.774945401,2.78058317,2.776022802,2.769348022,2.748439266,2.735826145,2.707470233,2.691992978,2.686101955,2.685122591,2.698795726,2.725334741,2.741366238,2.76621642,2.748114998,2.720331044,2.69806638,2.672137927,2.662050226,2.653138074,2.659689552,2.677048349
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|95.0th Percentile,W/m^2,2.242113466,2.331289621,2.370419635,2.454901118,2.584045797,2.657661884,2.678335392,2.678091067,2.612977724,2.659260221,2.633044339,2.639272813,2.690013261,2.763263742,2.794764493,2.903580204,2.948446519,3.023581075,3.116753197,3.140456326,3.20342747,3.233495176,3.294257671,3.325038302,3.355737507,3.396062449,3.475764338,3.552819863,3.609518153,3.64937995,3.658006127,3.655981279,3.651871276,3.654424587,3.654169852,3.653404671,3.644738854,3.646337381,3.669759488,3.710808012,3.708385193,3.711786061,3.683753712,3.670192391,3.633820427,3.599082029,3.556512077,3.528279824,3.509053337,3.501164061,3.515390301,3.517583564,3.524784574,3.503318444,3.462149906,3.407220044,3.366872164,3.328302934,3.297017889,3.280923878,3.281801793,3.290336001,3.274534665,3.26243646,3.249930673,3.213351357,3.180679403,3.148866411,3.129862202,3.114862633,3.107909217,3.127659709,3.139132792,3.143331272,3.127434897,3.103546516,3.072665359,3.053855147,3.040131595,3.020202924,3.012121955,3.006733046,3.010776947,3.024705989,3.038818849,3.051828371,3.048460638,3.048979053,3.031832527,3.024037206,2.997725611,2.984375785,2.986048606,2.991554247,3.010060039,3.042015629,3.06603615,3.088237449,3.075347854,3.057550005,3.037055045,3.015034994,3.011247931,3.004323204,3.012671085,3.036089202
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|33.0th Percentile,W/m^2,,,,,,1.956990718,1.974257665,1.951989161,1.968365917,1.950256486,1.92233995,1.982349658,1.997555531,2.130709001,2.1708764,2.157177965,2.302656614,2.326414749,2.415538906,2.393876758,2.423401374,2.44634059,2.487898925,2.531129768,2.578865424,2.632934202,2.714327987,2.796625683,2.862138066,2.916820885,2.954407813,2.993961305,3.020367857,3.049066415,3.064134094,3.074567578,3.077725246,3.085628622,3.108854459,3.137207132,3.140354586,3.144405991,3.132259147,3.126333102,3.100571597,3.066794317,3.033854022,3.007544389,2.990517318,2.984440403,2.994981734,2.993804027,2.994918673,2.978275036,2.943907151,2.898600048,2.856625995,2.822354334,2.790511864,2.771463969,2.768715927,2.767103376,2.74865112,2.733371856,2.718332833,2.688189622,2.656927402,2.633536901,2.610799092,2.594296831,2.585618282,2.593582405,2.60211132,2.595483893,2.580735564,2.557788124,2.524992566,2.507025175,2.488087607,2.465880638,2.451231606,2.439890076,2.433757206,2.437452454,2.443936385,2.442923453,2.431085463,2.421442058,2.403124719,2.387433436,2.36297053,2.345982004,2.335810491,2.327875669,2.333377871,2.348149538,2.359024,2.371629038,2.354505399,2.332277394,2.310973165,2.290225004,2.277867646,2.269000473,2.273518829,2.282859617
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|5.0th Percentile,W/m^2,,,,,,1.708073354,1.726885868,1.686941426,1.684214308,1.654190836,1.622816066,1.663028102,1.675124826,1.810257615,1.842305933,1.809320146,1.979216943,1.997080014,2.070844003,2.049412089,2.077566374,2.101956584,2.142474739,2.193239715,2.241371746,2.299494515,2.386758307,2.46552385,2.529800061,2.58748567,2.633457036,2.677090879,2.694162886,2.727031696,2.74766082,2.76454054,2.770541376,2.778872138,2.799282367,2.82567361,2.829186396,2.840195131,2.825422933,2.819350853,2.801414661,2.77260791,2.742666552,2.723128958,2.711100426,2.703824991,2.714897301,2.713591557,2.720352811,2.710584268,2.684442263,2.645011196,2.60728392,2.574808985,2.55379533,2.541390713,2.537886926,2.539146888,2.518467292,2.50451463,2.489517361,2.46460426,2.435577242,2.411664905,2.387607315,2.365723502,2.35814492,2.370819784,2.381610146,2.378501425,2.363405272,2.333855707,2.302700253,2.283329467,2.266611427,2.239968595,2.220470251,2.205874319,2.198725547,2.200727503,2.202609979,2.201172109,2.191690141,2.180787632,2.161514811,2.145702017,2.118686743,2.101048113,2.090846214,2.088914661,2.093541341,2.10771628,2.110748981,2.125212376,2.108424889,2.082681361,2.070182893,2.054048717,2.04394384,2.032865471,2.035458255,2.041689539
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|50.0th Percentile,W/m^2,,,,,,2.062626323,2.081195735,2.057502506,2.076499763,2.070092193,2.046837141,2.099257149,2.122123904,2.242007129,2.280531563,2.282658981,2.422511773,2.462737033,2.545159497,2.53574266,2.560713029,2.577967436,2.618362326,2.658119972,2.700979097,2.752009152,2.824859241,2.8964791,2.958020526,3.011694817,3.050690634,3.088759943,3.112343372,3.144589706,3.161398505,3.172552186,3.178236823,3.187966553,3.209903325,3.238580216,3.241422641,3.247628439,3.232352287,3.223390819,3.194769312,3.162460076,3.12861459,3.104246366,3.086607013,3.07755912,3.083335926,3.081451412,3.081027401,3.062880411,3.031008571,2.985772243,2.94831328,2.914370424,2.885081433,2.870309653,2.862566555,2.864982918,2.848428679,2.831766285,2.815934118,2.784930222,2.75501339,2.727554682,2.709770908,2.695016432,2.686073252,2.691380474,2.699278307,2.699689141,2.684060239,2.660909871,2.628421578,2.605309256,2.587272403,2.5669858,2.553380132,2.53678975,2.530024065,2.534224536,2.536818498,2.536220237,2.525663041,2.515266479,2.497802675,2.481261947,2.457381386,2.442111187,2.434207481,2.426925661,2.43260167,2.446140782,2.453047219,2.465940531,2.452189883,2.426142598,2.405236226,2.385802863,2.374716342,2.364606666,2.368022157,2.377943382
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|67.0th Percentile,W/m^2,,,,,,2.175365267,2.192717839,2.179204863,2.201252759,2.196587321,2.175919072,2.228835339,2.25567096,2.364361428,2.406160452,2.417368132,2.54767822,2.588727659,2.672052501,2.660715164,2.689463608,2.712203325,2.749943074,2.790191176,2.834073371,2.882181849,2.949922215,3.026476625,3.085228803,3.133262256,3.17321171,3.208678775,3.238278541,3.26980103,3.283372597,3.292851191,3.296627076,3.306410184,3.323038649,3.354861036,3.356677745,3.360218521,3.340427745,3.328780792,3.302056721,3.268192842,3.228039969,3.204748051,3.186375823,3.176615281,3.180441327,3.17965387,3.183804114,3.167117898,3.132981442,3.083189194,3.047576913,3.012838979,2.984344109,2.969324527,2.96116318,2.958557592,2.944730795,2.930731975,2.912395739,2.881222891,2.852812179,2.827877542,2.808168643,2.790524105,2.779187798,2.78184223,2.786666871,2.782592938,2.765001859,2.74175805,2.712226567,2.693455262,2.675749842,2.654438508,2.639933121,2.630535513,2.623616988,2.624218044,2.628801665,2.629509266,2.619723482,2.611705242,2.588355829,2.574936311,2.554275152,2.541187342,2.531579064,2.525977726,2.534038741,2.552653396,2.558640586,2.573117577,2.560676676,2.535632506,2.519174952,2.496469744,2.487296949,2.48111673,2.483061704,2.493155503
C-ROADS-5.005,Ratchet-1.5-noCDR,World,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|95.0th Percentile,W/m^2,,,,,,2.548021845,2.566072315,2.592058864,2.62538918,2.623049045,2.617087355,2.652913309,2.698066,2.787199016,2.832842271,2.865929675,2.974224896,3.026014028,3.110061919,3.109038828,3.139651578,3.160404665,3.200822434,3.235900468,3.275994094,3.321866959,3.378101139,3.43035428,3.490165196,3.540140047,3.58237105,3.619763714,3.635766108,3.662218093,3.679573946,3.68820528,3.680206962,3.672252671,3.683052749,3.704867276,3.692665466,3.686520475,3.675060507,3.657965073,3.624959991,3.587529385,3.548722943,3.515861393,3.489903247,3.477030338,3.486719629,3.486255779,3.477967571,3.452055154,3.40782308,3.345704387,3.309988656,3.274838149,3.238860895,3.224125377,3.219880426,3.222607416,3.206233604,3.191108433,3.173000016,3.137557591,3.110814392,3.085712536,3.063662189,3.040967363,3.034928979,3.041955714,3.051676111,3.054764382,3.039005548,3.014627802,2.984951167,2.970043702,2.953678358,2.934925879,2.920929463,2.913266558,2.907278783,2.913642609,2.923048994,2.929059575,2.924001695,2.916804167,2.896072182,2.883739435,2.855595261,2.838633735,2.834118733,2.832332322,2.845676527,2.867492714,2.874607899,2.887995839,2.874970213,2.856710815,2.839167431,2.824326,2.814492552,2.808271984,2.814553654,2.831549371
